term	df	idf
agar	2	7.945555
agave	19	5.694264
age	2	7.945555
aged	5	7.029265
agent	2	7.945555
agents	2	7.945555
aging	1	8.638703
agitating	1	8.638703
agitation	1	8.638703
aglio	4	7.252408
agree	2	7.945555
agwa	1	8.638703
ahead	77	4.294897
ahi	3	7.540090
ahoy	1	8.638703
aid	12	6.153796
aiming	1	8.638703
ain	1	8.638703
aioli	9	6.441478
air	57	4.595651
airier	1	8.638703
airplane	1	8.638703
airtight	77	4.294897
airy	2	7.945555
aisle	5	7.029265
ajar	5	7.029265
aji	3	7.540090
aka	14	5.999645
al	81	4.244253
ala	4	7.252408
alabama	1	8.638703
alan	1	8.638703
alarmed	2	7.945555
alaska	6	6.846943
albacore	4	7.252408
albany	1	8.638703
albaricoques	1	8.638703
albert	1	8.638703
albondigas	2	7.945555
alcohol	22	5.547660
alcoholic	3	7.540090
ale	26	5.380606
aleppo	1	8.638703
alfalfa	11	6.240807
alfedo	1	8.638703
alfoil	1	8.638703
alfredo	28	5.306498
alice	3	7.540090
alicha	1	8.638703
alien	1	8.638703
align	1	8.638703
alittle	2	7.945555
alive	2	7.945555
alkalizer	1	8.638703
all	1983	1.046336
alla	9	6.441478
allergic	2	7.945555
alliance	1	8.638703
alllow	1	8.638703
allows	11	6.240807
alls	1	8.638703
allspice	132	3.755901
almond	204	3.320583
almondine	1	8.638703
almonds	205	3.315693
almost	136	3.726048
aloha	1	8.638703
alone	8	6.559261
along	131	3.763505
alongside	6	6.846943
aloo	1	8.638703
alphabet	1	8.638703
already	26	5.380606
alright	1	8.638703
also	229	3.204981
alter	4	7.252408
altered	1	8.638703
altering	1	8.638703
alternate	15	5.930652
alternately	61	4.527829
alternating	23	5.503208
alternative	8	6.559261
alternatively	14	5.999645
although	11	6.240807
altitude	4	7.252408
altitudes	2	7.945555
altogether	2	7.945555
alum	4	7.252408
aluminium	2	7.945555
aluminum	77	4.294897
always	35	5.083355
amaretti	2	7.945555
amaretto	20	5.642970
amarillo	1	8.638703
amarula	1	8.638703
amateur	1	8.638703
amato	1	8.638703
amatriciana	1	8.638703
amazing	9	6.441478
amazingly	1	8.638703
amba	2	7.945555
ambassade	1	8.638703
amber	8	6.559261
ambert	1	8.638703
amend	1	8.638703
america	1	8.638703
american	35	5.083355
amino	3	7.540090
aminos	9	6.441478
amish	3	7.540090
ammonia	1	8.638703
among	57	4.595651
amongst	1	8.638703
amontillado	1	8.638703
amount	185	3.418347
amounts	37	5.027785
amout	1	8.638703
amp	2	7.945555
ample	1	8.638703
amt	3	7.540090
amuse	1	8.638703
amy	4	7.252408
anaheim	11	6.240807
ancho	15	5.930652
anchos	1	8.638703
anchovies	15	5.930652
anchovy	23	5.503208
ande	1	8.638703
andes	9	6.441478
andouille	2	7.945555
ands	1	8.638703
angel	43	4.877502
angered	1	8.638703
anglaise	2	7.945555
angle	5	7.029265
angles	1	8.638703
angostura	3	7.540090
angus	2	7.945555
animal	1	8.638703
anise	22	5.547660
aniseed	3	7.540090
anjou	2	7.945555
ann	1	8.638703
anna	1	8.638703
annatto	6	6.846943
annette	1	8.638703
annie	2	7.945555
anohter	1	8.638703
another	431	2.572595
ans	3	7.540090
answer	1	8.638703
answers	1	8.638703
antennae	1	8.638703
anthony	1	8.638703
anti	1	8.638703
anticipated	1	8.638703
anticuchos	1	8.638703
antime	1	8.638703
antioxidants	1	8.638703
antipasta	1	8.638703
antipasto	3	7.540090
antlers	1	8.638703
antoher	1	8.638703
any	452	2.525020
anya	1	8.638703
anymore	4	7.252408
anyone	2	7.945555
anything	15	5.930652
anytime	2	7.945555
anyway	2	7.945555
anywhere	3	7.540090
anzac	1	8.638703
aobut	1	8.638703
apaprt	1	8.638703
aparagus	1	8.638703
apart	152	3.614822
aparts	1	8.638703
apetit	1	8.638703
apetite	1	8.638703
apfel	1	8.638703
apiece	1	8.638703
apircots	1	8.638703
app	3	7.540090
apparent	1	8.638703
appeal	1	8.638703
appeals	1	8.638703
appearance	4	7.252408
appears	14	5.999645
appenzeller	2	7.945555
appetiser	1	8.638703
appetit	7	6.692792
appetite	2	7.945555
appetizer	18	5.748331
appetizers	13	6.073753
appetizing	1	8.638703
appitite	1	8.638703
apple	363	2.744300
applebee	3	7.540090
apples	217	3.258805
applesauce	92	4.116914
applicable	1	8.638703
applicacation	1	8.638703
application	1	8.638703
apply	16	5.866114
appr	1	8.638703
appreciated	1	8.638703
appropriate	2	7.945555
approx	86	4.184355
approxamatly	1	8.638703
approxiamately	1	8.638703
approximate	7	6.692792
approximated	1	8.638703
approximately	159	3.569798
approximatley	1	8.638703
apprx	3	7.540090
appx	4	7.252408
apricot	66	4.449048
apricots	29	5.271407
april	1	8.638703
aprox	7	6.692792
aproximate	1	8.638703
aproximately	1	8.638703
apull	1	8.638703
apx	1	8.638703
arabian	1	8.638703
arabic	2	7.945555
arange	1	8.638703
arbol	2	7.945555
arborio	15	5.930652
arc	1	8.638703
area	9	6.441478
aren	7	6.692792
arepa	2	7.945555
arepas	2	7.945555
arepuffed	1	8.638703
argentinean	2	7.945555
argula	1	8.638703
arizona	1	8.638703
arm	3	7.540090
armenian	3	7.540090
army	1	8.638703
arni	1	8.638703
arnies	1	8.638703
arnold	1	8.638703
aroma	9	6.441478
aromas	2	7.945555
aromatic	9	6.441478
around	272	3.032901
aroundthe	1	8.638703
arouns	1	8.638703
arrange	239	3.162239
arranged	1	8.638703
arrangement	2	7.945555
arranging	2	7.945555
arrive	1	8.638703
arrow	1	8.638703
arrowroot	16	5.866114
arroz	4	7.252408
art	1	8.638703
artful	1	8.638703
arthur	3	7.540090
artichoke	89	4.150066
artichokes	33	5.142195
artificial	10	6.336118
artisan	2	7.945555
arugala	1	8.638703
arugula	32	5.172967
as	908	1.827458
asada	1	8.638703
asadero	2	7.945555
asado	1	8.638703
asafoetida	4	7.252408
asaparagus	1	8.638703
asbestos	1	8.638703
ascorbic	2	7.945555
asembly	1	8.638703
ash	3	7.540090
ashburnham	1	8.638703
asia	1	8.638703
asiago	19	5.694264
asian	42	4.901033
aside	743	2.028007
asordo	1	8.638703
asparagus	106	3.975264
aspargus	1	8.638703
assemble	51	4.706877
assembled	7	6.692792
assembling	6	6.846943
assembly	10	6.336118
assist	1	8.638703
assisted	2	7.945555
associated	1	8.638703
assorted	15	5.930652
assortment	1	8.638703
assume	2	7.945555
assuming	1	8.638703
assure	1	8.638703
assyrian	1	8.638703
atar	2	7.945555
ateco	1	8.638703
athena	2	7.945555
atleast	1	8.638703
atop	17	5.805489
attach	14	5.999645
attached	9	6.441478
attachment	33	5.142195
attack	1	8.638703
attain	1	8.638703
attempting	2	7.945555
attention	2	7.945555
attractive	4	7.252408
attractively	1	8.638703
attractiveness	1	8.638703
attributed	1	8.638703
au	27	5.342866
aubergine	10	6.336118
aubergines	2	7.945555
audiences	1	8.638703
aug	1	8.638703
auld	1	8.638703
aunt	12	6.153796
aurora	1	8.638703
aussie	4	7.252408
australian	4	7.252408
authentic	18	5.748331
authenticity	2	7.945555
authentico	1	8.638703
author	1	8.638703
auto	1	8.638703
autumn	5	7.029265
auvergne	1	8.638703
aux	3	7.540090
avacado	2	7.945555
avail	1	8.638703
availability	1	8.638703
available	19	5.694264
avalanche	1	8.638703
average	2	7.945555
avgolemono	2	7.945555
avocado	69	4.404596
avocadoes	1	8.638703
avocados	17	5.805489
avoid	32	5.172967
avoiding	1	8.638703
avoids	2	7.945555
awake	1	8.638703
awakening	1	8.638703
awareness	1	8.638703
away	110	3.938222
awesome	10	6.336118
awhile	3	7.540090
awkwardly	1	8.638703
awrey	1	8.638703
aztec	1	8.638703
azuki	2	7.945555
babi	1	8.638703
baby	137	3.718722
bacardi	1	8.638703
baccal	2	7.945555
bachelor	1	8.638703
back	267	3.051454
backbones	1	8.638703
backfin	1	8.638703
backs	2	7.945555
backwoods	1	8.638703
backyard	1	8.638703
bacon	485	2.454554
bacos	2	7.945555
bacteria	2	7.945555
bad	3	7.540090
bag	298	2.941609
bagel	7	6.692792
bagels	9	6.441478
bagged	5	7.029265
baggie	3	7.540090
baggies	1	8.638703
bagging	1	8.638703
bags	43	4.877502
baguette	31	5.204715
baguettes	5	7.029265
bahama	3	7.540090
bailey	11	6.240807
baileys	10	6.336118
baily	1	8.638703
baja	1	8.638703
bake	2288	0.903269
baked	256	3.093525
baker	6	6.846943
bakers	3	7.540090
bakery	7	6.692792
bakes	4	7.252408
bakind	1	8.638703
baking	2196	0.944310
baklava	2	7.945555
balady	2	7.945555
balance	23	5.503208
balances	1	8.638703
bale	1	8.638703
balkan	2	7.945555
ball	141	3.689943
baller	2	7.945555
balling	2	7.945555
balloon	2	7.945555
balls	177	3.462553
balony	2	7.945555
balsamic	167	3.520709
bam	2	7.945555
bama	1	8.638703
bamboo	18	5.748331
banana	228	3.209357
bananas	146	3.655096
banane	1	8.638703
banans	1	8.638703
band	2	7.945555
bandito	1	8.638703
bands	4	7.252408
bang	1	8.638703
banger	3	7.540090
banh	1	8.638703
bannock	2	7.945555
bao	1	8.638703
bar	27	5.342866
barbaja	1	8.638703
barbara	1	8.638703
barbecue	89	4.150066
barbecued	9	6.441478
barbeque	4	7.252408
barbequed	1	8.638703
barbie	1	8.638703
barcardi	1	8.638703
bare	6	6.846943
barefoot	2	7.945555
barely	43	4.877502
bari	2	7.945555
barilla	3	7.540090
bark	5	7.029265
barley	53	4.668411
barm	1	8.638703
barmbrack	1	8.638703
barn	1	8.638703
barrel	4	7.252408
barrier	1	8.638703
bars	130	3.771168
bartenders	1	8.638703
bartlett	3	7.540090
base	71	4.376023
baseball	3	7.540090
basecoat	1	8.638703
based	18	5.748331
bash	1	8.638703
bashing	1	8.638703
basic	38	5.001116
basically	1	8.638703
basics	1	8.638703
basil	502	2.420102
basin	2	7.945555
basket	10	6.336118
baskets	1	8.638703
basmati	33	5.142195
bass	8	6.559261
bastard	1	8.638703
baste	33	5.142195
basted	3	7.540090
baster	1	8.638703
bastianich	1	8.638703
basting	42	4.901033
batata	1	8.638703
batch	35	5.083355
batches	94	4.095408
bath	31	5.204715
bathe	1	8.638703
bathtub	1	8.638703
batter	410	2.622545
battered	1	8.638703
batters	3	7.540090
battter	1	8.638703
baturas	1	8.638703
bavarian	2	7.945555
bay	284	2.989728
bayit	1	8.638703
bayleaf	1	8.638703
bayleaves	1	8.638703
bbq	64	4.479820
bea	1	8.638703
beach	3	7.540090
beak	1	8.638703
beam	2	7.945555
bean	157	3.582457
beans	655	2.154067
beanshoot	1	8.638703
beanshoots	1	8.638703
beany	1	8.638703
bear	2	7.945555
beard	2	7.945555
bearing	1	8.638703
beat	751	2.017297
beaten	439	2.554203
beater	18	5.748331
beaters	21	5.594180
beating	126	3.802421
beau	4	7.252408
beaumonde	1	8.638703
beautiful	7	6.692792
beautifully	4	7.252408
beauty	1	8.638703
beaver	2	7.945555
became	1	8.638703
because	62	4.511568
becel	2	7.945555
bechamel	12	6.153796
become	57	4.595651
becomes	52	4.687459
becoming	6	6.846943
becuase	1	8.638703
bed	24	5.460649
beech	1	8.638703
beed	1	8.638703
beef	989	1.742008
beefy	4	7.252408
beehive	1	8.638703
beep	3	7.540090
beeps	1	8.638703
beer	123	3.826518
beeswax	2	7.945555
beet	16	5.866114
beetroot	7	6.692792
beetroots	2	7.945555
beets	26	5.380606
befor	1	8.638703
before	742	2.029353
beforehand	3	7.540090
befre	1	8.638703
begining	2	7.945555
beginner	1	8.638703
begins	91	4.127843
behind	5	7.029265
beignets	1	8.638703
beijing	1	8.638703
belgian	4	7.252408
belgium	1	8.638703
believe	11	6.240807
bell	397	2.654766
bellas	1	8.638703
belle	1	8.638703
belly	5	7.029265
bellys	2	7.945555
below	34	5.112342
ben	4	7.252408
bench	1	8.638703
bend	2	7.945555
beneath	2	7.945555
benedict	6	6.846943
benedictine	1	8.638703
benefiber	1	8.638703
benefit	1	8.638703
bengal	2	7.945555
bennets	1	8.638703
bens	1	8.638703
beppo	2	7.945555
berbere	3	7.540090
berger	1	8.638703
bergs	1	8.638703
berries	53	4.668411
berry	31	5.204715
besan	5	7.029265
beside	1	8.638703
besides	1	8.638703
best	203	3.325497
bestmade	1	8.638703
bet	1	8.638703
beta	1	8.638703
beth	1	8.638703
better	91	4.127843
bettr	1	8.638703
betty	25	5.419827
between	174	3.479647
beurre	2	7.945555
bev	1	8.638703
beverage	11	6.240807
beverages	1	8.638703
beware	1	8.638703
beyond	5	7.029265
bhagar	1	8.638703
bi	2	7.945555
bianca	1	8.638703
bias	4	7.252408
bibb	2	7.945555
bibianne	1	8.638703
bicarb	1	8.638703
bicarbonate	9	6.441478
bics	1	8.638703
bicuit	1	8.638703
biere	1	8.638703
big	78	4.281994
bigger	10	6.336118
biggest	1	8.638703
biggie	1	8.638703
biksemad	1	8.638703
bill	1	8.638703
billy	2	7.945555
biltmore	1	8.638703
bin	1	8.638703
bind	3	7.540090
binds	1	8.638703
bing	2	7.945555
bings	1	8.638703
bird	11	6.240807
birds	6	6.846943
birthday	1	8.638703
biscoitos	1	8.638703
biscotti	14	5.999645
biscuit	58	4.578260
biscuits	96	4.074354
biskit	1	8.638703
bison	1	8.638703
bisque	11	6.240807
bisquick	56	4.613351
bisquik	1	8.638703
bisquit	1	8.638703
bisto	3	7.540090
bistro	2	7.945555
bit	197	3.355499
bite	134	3.740863
bites	10	6.336118
bits	119	3.859579
bitten	1	8.638703
bitter	11	6.240807
bitters	5	7.029265
bittersweet	31	5.204715
bittman	2	7.945555
bitty	1	8.638703
bix	2	7.945555
black	1129	1.609615
blackberries	21	5.594180
blackberry	16	5.866114
blacken	1	8.638703
blackened	12	6.153796
blackening	2	7.945555
blackens	2	7.945555
blackeye	1	8.638703
blackout	1	8.638703
blackstrap	2	7.945555
blade	21	5.594180
bladed	3	7.540090
blades	2	7.945555
blanc	4	7.252408
blanch	12	6.153796
blanched	24	5.460649
blanching	2	7.945555
blanchings	1	8.638703
blanco	3	7.540090
bland	2	7.945555
blanket	6	6.846943
blankets	1	8.638703
blankies	1	8.638703
blast	1	8.638703
blasting	1	8.638703
bleach	1	8.638703
bleached	1	8.638703
bleed	1	8.638703
blemishes	1	8.638703
blend	566	2.300109
blended	341	2.806820
blender	336	2.821591
blending	35	5.083355
blends	4	7.252408
bleu	11	6.240807
blind	2	7.945555
blini	1	8.638703
blintz	1	8.638703
bliss	1	8.638703
blistered	6	6.846943
blitva	1	8.638703
blitz	3	7.540090
blob	2	7.945555
blobs	1	8.638703
block	12	6.153796
blocks	4	7.252408
blog	1	8.638703
blondie	1	8.638703
blondies	1	8.638703
blood	12	6.153796
bloody	4	7.252408
bloom	2	7.945555
bloomer	1	8.638703
blooms	1	8.638703
blossom	2	7.945555
blot	6	6.846943
blotting	1	8.638703
blow	2	7.945555
blowing	1	8.638703
blt	2	7.945555
blue	72	4.362036
blueberries	74	4.334638
blueberry	38	5.001116
bluefish	1	8.638703
blush	1	8.638703
board	98	4.053735
boarding	1	8.638703
boars	1	8.638703
boat	4	7.252408
boats	3	7.540090
bob	4	7.252408
bobby	6	6.846943
boboejie	1	8.638703
boboli	3	7.540090
bobotie	1	8.638703
boca	2	7.945555
bocconcini	3	7.540090
bock	1	8.638703
bodied	2	7.945555
bodies	2	7.945555
body	8	6.559261
bohemian	1	8.638703
boil	1106	1.630197
boiled	87	4.172794
boiler	37	5.027785
boiling	396	2.657288
boillioun	1	8.638703
boils	32	5.172967
bok	21	5.594180
bol	1	8.638703
bolivia	1	8.638703
bolo	1	8.638703
bologna	1	8.638703
bolognaise	1	8.638703
bolognese	2	7.945555
bolony	1	8.638703
bolts	1	8.638703
bomb	1	8.638703
bombay	2	7.945555
boml	1	8.638703
bon	10	6.336118
bonacini	1	8.638703
bonanza	1	8.638703
bone	100	4.033532
boned	13	6.073753
boneless	357	2.760967
bones	40	4.949823
bonito	4	7.252408
bonnet	5	7.029265
bonus	1	8.638703
bony	1	8.638703
booda	1	8.638703
book	4	7.252408
books	1	8.638703
boomer	1	8.638703
booster	1	8.638703
boozy	1	8.638703
borax	1	8.638703
bordeaux	1	8.638703
bordens	1	8.638703
border	27	5.342866
borrowed	1	8.638703
borsc	1	8.638703
borsch	1	8.638703
borscht	3	7.540090
borshch	2	7.945555
bosc	3	7.540090
boston	10	6.336118
botan	1	8.638703
both	273	3.029231
bother	3	7.540090
bottle	77	4.294897
bottled	28	5.306498
bottles	14	5.999645
bottom	540	2.347133
bottome	1	8.638703
bottomed	25	5.419827
bottoms	34	5.112342
botulism	1	8.638703
bouche	1	8.638703
bouillion	3	7.540090
bouillon	159	3.569798
boule	4	7.252408
boulion	1	8.638703
boullion	5	7.029265
bounce	1	8.638703
bounces	2	7.945555
bouncy	1	8.638703
bound	1	8.638703
bouquet	17	5.805489
bourbon	32	5.172967
bourdain	1	8.638703
bourekakia	1	8.638703
bourride	1	8.638703
boursin	11	6.240807
bow	22	5.547660
bowel	1	8.638703
bowl	2269	0.911608
bowls	129	3.778890
bown	1	8.638703
bowol	1	8.638703
bows	1	8.638703
bowtie	1	8.638703
box	135	3.733428
boxed	2	7.945555
boxes	25	5.419827
boy	4	7.252408
boysenberries	1	8.638703
brack	1	8.638703
bracket	1	8.638703
braeburn	3	7.540090
bragg	2	7.945555
braggs	7	6.692792
braid	2	7.945555
braided	1	8.638703
brain	2	7.945555
brains	1	8.638703
brainy	1	8.638703
braise	9	6.441478
braised	23	5.503208
braising	9	6.441478
bramley	1	8.638703
bran	30	5.237505
brand	64	4.479820
brandied	2	7.945555
brands	4	7.252408
brandy	52	4.687459
brasileiro	1	8.638703
brat	1	8.638703
brats	4	7.252408
bratten	1	8.638703
bratwurst	11	6.240807
bratwursts	6	6.846943
braunschweiger	2	7.945555
brava	2	7.945555
braze	1	8.638703
brazil	2	7.945555
brazilian	5	7.029265
breacrunbs	1	8.638703
bread	835	1.911271
breadcrumb	21	5.594180
breadcrumbs	272	3.032901
breadcrums	1	8.638703
breadcrunbs	1	8.638703
breaded	12	6.153796
breading	10	6.336118
breadmaker	3	7.540090
breads	19	5.694264
breadstick	3	7.540090
breadsticks	3	7.540090
breakage	1	8.638703
breakfast	59	4.561165
breaks	4	7.252408
breakstone	1	8.638703
breast	248	3.125274
breasts	360	2.752599
breath	2	7.945555
breathable	1	8.638703
breats	1	8.638703
breeze	4	7.252408
breifly	1	8.638703
brennan	1	8.638703
bresaola	1	8.638703
breton	1	8.638703
brew	6	6.846943
brewed	22	5.547660
brickle	1	8.638703
bricks	2	7.945555
bride	1	8.638703
bridget	1	8.638703
bridies	1	8.638703
brie	26	5.380606
briefly	44	4.854513
brien	3	7.540090
bright	17	5.805489
brighten	1	8.638703
brine	24	5.460649
brings	1	8.638703
brining	4	7.252408
brinjal	1	8.638703
brink	1	8.638703
brioche	4	7.252408
brisee	2	7.945555
brisk	1	8.638703
brisket	25	5.419827
briskly	13	6.073753
brisse	1	8.638703
britannica	1	8.638703
british	5	7.029265
britt	1	8.638703
brittle	1	8.638703
broad	4	7.252408
broccoi	1	8.638703
broccoli	230	3.200623
brocolli	2	7.945555
brodie	1	8.638703
broil	101	4.023582
broiled	10	6.336118
broiler	103	4.003974
broiling	7	6.692792
broned	1	8.638703
brontosaurus	1	8.638703
broth	810	1.941668
brother	1	8.638703
brothers	1	8.638703
broths	1	8.638703
brothy	1	8.638703
brow	1	8.638703
browed	1	8.638703
browened	1	8.638703
brown	2109	0.984733
brownded	1	8.638703
browned	484	2.456618
brownen	1	8.638703
browner	1	8.638703
brownie	41	4.925131
brownies	64	4.479820
browning	49	4.746882
brownish	1	8.638703
browns	50	4.726680
brownthen	1	8.638703
brownulated	3	7.540090
bruce	1	8.638703
bruised	1	8.638703
bruises	1	8.638703
bruising	1	8.638703
brul	1	8.638703
brulee	5	7.029265
brummel	1	8.638703
brummie	1	8.638703
brunch	3	7.540090
brunoise	1	8.638703
brunswick	1	8.638703
bruschetta	8	6.559261
brush	251	3.113250
brushed	5	7.029265
brushetta	1	8.638703
brushing	32	5.172967
brussels	25	5.419827
btw	2	7.945555
bubbily	1	8.638703
bubble	44	4.854513
bubbled	2	7.945555
bubbles	69	4.404596
bubbling	60	4.544358
bubblky	1	8.638703
bubbly	159	3.569798
bubles	1	8.638703
buca	2	7.945555
bucatini	1	8.638703
buccatini	1	8.638703
bucco	1	8.638703
buckeyes	1	8.638703
buckle	1	8.638703
buckley	1	8.638703
buckling	1	8.638703
buckwheat	9	6.441478
buco	1	8.638703
buddy	2	7.945555
budget	4	7.252408
budlight	1	8.638703
buds	3	7.540090
buffalo	26	5.380606
buffet	3	7.540090
buffets	1	8.638703
bug	1	8.638703
bulb	21	5.594180
bulbs	4	7.252408
bulgar	4	7.252408
bulgarian	1	8.638703
bulgogi	1	8.638703
bulgur	6	6.846943
bulk	34	5.112342
bulked	1	8.638703
bull	2	7.945555
bullet	4	7.252408
bullion	2	7.945555
bumbleberry	1	8.638703
bumpy	2	7.945555
bun	29	5.271407
bunch	89	4.150066
bunches	27	5.342866
bundle	6	6.846943
bundles	5	7.029265
bundt	34	5.112342
bunny	1	8.638703
buns	82	4.231983
burgandy	1	8.638703
burger	21	5.594180
burgers	41	4.925131
burgundy	5	7.029265
buried	1	8.638703
burn	75	4.321214
burned	6	6.846943
burner	18	5.748331
burners	3	7.540090
burning	27	5.342866
burns	6	6.846943
burnt	10	6.336118
burp	1	8.638703
burr	1	8.638703
burrito	15	5.930652
burritos	10	6.336118
bursh	1	8.638703
burst	5	7.029265
bursting	3	7.540090
bursts	1	8.638703
bury	1	8.638703
bush	3	7.540090
bushes	1	8.638703
business	1	8.638703
busy	1	8.638703
butcher	9	6.441478
butchers	1	8.638703
buter	2	7.945555
butt	14	5.999645
butte	1	8.638703
butter	3757	0.407327
butterbuds	1	8.638703
buttercake	1	8.638703
buttercream	16	5.866114
buttercreme	1	8.638703
buttered	86	4.184355
butteres	1	8.638703
butterfinger	1	8.638703
butterfly	1	8.638703
butterhorn	1	8.638703
butterhorns	1	8.638703
buttering	5	7.029265
buttermilk	221	3.240540
butternut	40	4.949823
butterscotch	45	4.832040
buttershot	1	8.638703
butterworth	1	8.638703
buttery	8	6.559261
button	26	5.380606
buttons	1	8.638703
buttterfat	1	8.638703
buzz	2	7.945555
ca	1	8.638703
cabbage	262	3.070358
cabbbage	1	8.638703
cabernet	3	7.540090
cabinet	1	8.638703
cabonara	1	8.638703
cabot	1	8.638703
cacao	16	5.866114
cacciatore	3	7.540090
cachere	1	8.638703
cacik	1	8.638703
cacio	1	8.638703
caeerole	1	8.638703
caesar	10	6.336118
caf	1	8.638703
cafe	11	6.240807
cafeteria	2	7.945555
caffeine	1	8.638703
cafix	2	7.945555
caipiroska	1	8.638703
cajun	50	4.726680
cake	669	2.132919
cakes	72	4.362036
cakesters	1	8.638703
cal	8	6.559261
calabaza	1	8.638703
calamari	6	6.846943
calamata	1	8.638703
calc	1	8.638703
calcium	5	7.029265
caldo	1	8.638703
cale	1	8.638703
california	8	6.559261
callender	2	7.945555
calls	10	6.336118
calorie	13	6.073753
calories	17	5.805489
calrose	1	8.638703
calzone	3	7.540090
calzones	4	7.252408
cambodian	1	8.638703
camembert	3	7.540090
camp	1	8.638703
campanelle	1	8.638703
campbell	19	5.694264
campfire	2	7.945555
camping	1	8.638703
canadian	17	5.805489
canapes	2	7.945555
cancel	1	8.638703
candida	1	8.638703
candie	1	8.638703
candied	25	5.419827
candies	22	5.547660
candy	89	4.150066
cane	13	6.073753
canellini	1	8.638703
caner	1	8.638703
canes	3	7.540090
canister	1	8.638703
canja	1	8.638703
canned	230	3.200623
cannellini	24	5.460649
cannelloni	6	6.846943
cannellonis	1	8.638703
canner	6	6.846943
canners	1	8.638703
cannibals	1	8.638703
canning	23	5.503208
cannned	1	8.638703
cannola	1	8.638703
cannoli	5	7.029265
cannot	8	6.559261
canola	154	3.601750
canoli	1	8.638703
cans	296	2.948343
cant	1	8.638703
cantaloupe	5	7.029265
cantaloupes	1	8.638703
canter	1	8.638703
canton	1	8.638703
cantonese	1	8.638703
cap	8	6.559261
capability	1	8.638703
capable	1	8.638703
capacity	4	7.252408
cape	1	8.638703
caper	3	7.540090
caperberries	2	7.945555
caperberry	1	8.638703
capers	70	4.390207
cappuccino	2	7.945555
caprese	2	7.945555
caps	19	5.694264
capsicum	19	5.694264
capsicums	3	7.540090
captain	2	7.945555
caramalize	1	8.638703
caramalized	1	8.638703
carambola	1	8.638703
carambolas	1	8.638703
caramel	77	4.294897
caramelised	1	8.638703
caramelize	10	6.336118
caramelized	29	5.271407
caramelizes	2	7.945555
caramelly	1	8.638703
caramels	12	6.153796
caraway	31	5.204715
carb	29	5.271407
carbohydrate	7	6.692792
carbohydrates	5	7.029265
carbonara	6	6.846943
carbonated	11	6.240807
carbonation	1	8.638703
carboy	1	8.638703
carbs	5	7.029265
carcass	6	6.846943
card	3	7.540090
cardamom	70	4.390207
cardamoms	5	7.029265
cardamon	4	7.252408
cardamons	1	8.638703
cardboard	2	7.945555
cardomom	1	8.638703
care	19	5.694264
careful	88	4.161366
carefull	2	7.945555
carefully	188	3.402261
caremelized	2	7.945555
caribbean	11	6.240807
carmel	1	8.638703
carmelize	1	8.638703
carmelized	9	6.441478
carmelizes	1	8.638703
carmella	1	8.638703
carne	4	7.252408
