surface	wiki_title	type
''Bubur cha-cha''	Bubur cha cha	dish
''Bucaio''	Bukayo	dish
''Buccellati''	Cuccidati	dish
''Burlengo''	Borlengo	dish
''Busiati''	Busiate	ingredient
''Bustrèng''	Bustrengo	dish
''Cacık''	Tzatziki	dish
''Café viennois''	Café liégeois	dish
''Camiguin pastel''	Pastel de Camiguín	dish
''Cannaciotti''	Cannelloni	dish
''Capicollo'' (Tuscia viterbese	Capocollo	ingredient
''Capuliatu'' (in Sicilian)	Capuliato	condiment
''Capunata''	Caponata	dish
''Carciofi alla giudea''	Carciofi alla giudia	ingredient
''Casonciei''	Casunziei	dish
''Casonsèi''	Casoncelli	dish
''Cellentani''	Cavatappi	ingredient
''Celorot''	Clorot	dish
''Chaltteok''	Chapssal-tteok	dish
''Chashaobao''	Cha siu bao	dish
''Chi faan''	Cifantuan	dish
''Chinchalok''	Cincalok	ingredient
''Chocolatine''	Pain au chocolat	dish
''Chuchvara''	Joshpara	dish
''Cialledda''	Acquasale	dish
''Ciambotta''	Ciambotta	dish
''Ciavuscolo''	Ciauscolo	ingredient
''Cjalsons''	Cjarsons	dish
''Copeta''	Cupeta	dish
''Crescia di Pasqua''	Pizza di Pasqua	dish
''Croque-en-bouche''	Croquembouche	dish
''Croset'' (Piedmont)	Corzetti	ingredient
''Doukounou'' (in Haiti)	Duckanoo	dish
''Ducana'' (in Antigua and Barbuda)	Duckanoo	dish
''Eish fellahi''	Bataw (bread)	dish
''Elicoidali''	Tortiglioni	ingredient
''Erice marzipan''	Pasta reale di Erice	ingredient
''Escudella''	Escudella	dish
''Farinata di ceci''	Farinata	dish
''Ferratelle''	Pizzelle	ingredient
''Foglie di ulivo''	Foglie d'ulivo	ingredient
''Forash bisi''	Forash	dish
''Fricò''	Frico	dish
''Frìtołe	Frittella (doughnut)	dish
''Galbi-gui''	Galbi	dish
''Gianduia''	Gianduja (chocolate)	dish
''Gopchang-gui''	Gopchang	dish
''Graffe napoletane''	Graffe	dish
''Grieven''	Gribenes	dish
''Gu lou juk''	Sweet and sour pork	dish
''Guastedda nissena''	Guasteddra	dish
''Gulai kuning''	Masak lemak lada api	dish
''Gun-goguma''	Roasted sweet potato	dish
''Gužvara''	Gibanica	dish
''Gwajul''	Yakgwa	dish
''Hamin''	Cholent	ingredient
''Hodo-gwaja''	Hodu-gwaja	dish
''Hui guo rou''	Twice-cooked pork	dish
''Huoshao''	Shaobing	dish
''I fu mie''	Ifumi	dish
''Inkiwar''	Biko (food)	dish
''Involtini''	Rollatini	dish
''Jaa''	Lokot-lokot	dish
''Jabugo''	Jamón ibérico	ingredient
''Japanese peanutsCracker nutsCacahuate japonésCacahuates japonesesManí japonés''	Japanese-style peanuts	dish
''Jeot''	Jeotgal	ingredient
''Jjajangmyeon''	Jajangmyeon	dish
''Kadayıf'' ''Kανταΐφι'' ''Кадаиф'' ''Kadaifi'' ''Kataifi'' ''Cataife'' ''قطائف'' ''Engelshaar''	Kadayif (pastry)	dish
''Kaki lembu donggala''	Kaledo (soup)	dish
''Kari kepala ikan'' (Malay)	Fish head curry	ingredient
''Kha mu''	Khao kha mu	dish
''Khanom dok lamchiak'' (ขนมดอกลำเจียก)	Khanom keson lamchiak	dish
''Khanom khai hia''	Khanom khai hong	dish
''Khanom kumphamat''	Khanom mo kaeng	dish
''Khao Tang Na Tang''	Nataing	dish
''Khao ngiao''	Khao kan chin	ingredient
''Khichdi	Khichdi (dish)	dish
''Khua kai''	Kuaitiao khua kai	dish
''Kimchi-bokkeum-bap''	Kimchi fried rice	dish
''Kinamo''	Kamayan	ingredient
''Kora''	Taioro	dish
''Kuaci'' (Indonesian)	Guazi	dish
''Kue'' (Indonesia)	Kuih	dish
''Kueh'' (Singapore	Kuih	dish
''Kuih Keria Melaka''	Keria gula melaka	dish
''Kuytiew''	Kuyteav	dish
''Kyazan chet''	Kya zan hinga	dish
''Käsknöpfle'' ''Kasspatzl''	Käsespätzle	dish
''Lahem bi ajin''	Sfiha	dish
''Lahmajun''	Lahmacun	dish
''Lamang''	Lemang	dish
''Lanzhou lamian''	Lanzhou beef noodles	dish
''Lecabòn''	Lacabòn	ingredient
''Locot-locot''	Lokot-lokot	dish
''Luganiga''	Luganega	ingredient
''Lumpiang dinamita''dynamite lumpiadynamite spring rolls''barako'' fingerchili cheese sticks	Dinamita	dish
''Maccheroni alla chitarra''	Spaghetti alla chitarra	ingredient
''Maccheroni'' (in Italian)	Macaroni	ingredient
''Madumangsa''	Madumongso	dish
''Maejak-gwa''	Maejap-gwa	ingredient
''Mafalde''	Mafaldine	ingredient
''Malfatti''	Gnudi	dish
''Mam nem''	Mắm nêm	condiment
''Mandorlati di San Clemente''	Brutti ma buoni	dish
''Maniche di frate''	Paccheri	dish
''Marzapane''	Marzipan	dish
''Maziwa lala'' (Swahili)	Mursik	ingredient
''Meljeot''	Myeolchi-jeot	dish
''Mezze''	Meze	dish
''Minestrone di verdure''	Minestrone	dish
''Mohanthar''	Mohanthal	dish
''Mondeghini''	Mondeghili	dish
''Mosselen-friet''	Moules-frites	dish
''Motzetta''	Motsetta	ingredient
''Moussaettes au four''	Guernsey bean jar	dish
''Muffaletta''	Muffuletta	dish
''Mustaccioli''	Mustacciuoli	dish
''Nankin soba''	Ramen	dish
''Okchun''	Okchun-dang	dish
''Olive ascolane ripiene''	Olive all'ascolana	dish
''Otah''	Otak-otak	dish
''Pagkain para sa mga diyos''	Food for the gods	dish
''Panang''	Phanaeng	ingredient
''Panettone valtellinese''	Bisciola	dish
''Panigazzo''	Panigaccio	dish
''Panmolle''	Panzanella	dish
''Panyam''	Panyalam	dish
''Panzerotto'' (Italian singular form)	Panzerotti	dish
''Parmi''	Parmitieddi	ingredient
''Pastel''	Pastel de Camiguín	dish
''Pata negra''	Jamón ibérico	ingredient
''Perciatelli''	Bucatini	ingredient
''Pesto genovese''	Pesto	ingredient
''Petits choux''	Chouquette	dish
''Petroniana''	Cotoletta alla bolognese	dish
''Peyek''	Rempeyek	dish
''Pigodi''	Pyanse	ingredient
''Pinaypay''	Pinaypay	dish
''Pinci''	Pici	ingredient
''Pintos''	Binaki	dish
''Pizza ebraica''	Pizza dolce di Beridde	dish
''Popoi''	Poi (food)	dish
''Prosciutto crudo''	Prosciutto	ingredient
''Puding Raja''	Puding Diraja	dish
''Pudéang Deghaje''	Puding Diraja	dish
''Qattar'' / ''Qatr'' / ''Attar'' / ''Shħūr'' / ''Sheera''	Qatir (syrup)	ingredient
''Raengmyŏn''	Naengmyeon	dish
''Raviola nissena''	Raviola di ricotta di Caltanissetta	dish
''Risoni''	Orzo	ingredient
''Rissani''	Medfouna	dish
''Robiquette''	Galette-saucisse	dish
''Rojak mamak''	Pasembur	dish
''Rosetta''	Michetta	dish
''Rostinciana''	Rosticciana	dish
''Royal paste of Erice''	Pasta reale di Erice	ingredient
''Réblèque''	Reblec	ingredient
''Sacchetti''	Sacchettoni	ingredient
''Salame'' (Italian singular form)	Salami	dish
''Salokara''	Salukara	dish
''Saloona''	Maraq (dish)	ingredient
''Salsa blanca''	White sauce (Virginia)	condiment
''Salsiccia'' (in Italian)	Sausages in Italian cuisine	ingredient
''Samgyeopsal-gui''Grilled pork belly	Samgyeopsal	dish
''Samsy''	Samsa (food)	dish
''Schalet''	Cholent	ingredient
''Schlutzkrapfen''	Schlutzkrapfen	dish
''Sedanini''	Sedani	ingredient
''Sei''	Se'i	dish
''Sembei''	Senbei	ingredient
''Shāqímǎ''	Sachima	dish
''Sinuam/Suam'' (dialectal	Batchoy Tagalog	dish
''Sinukmaneng''	Biko (food)	dish
''Sinukmani''	Biko (food)	dish
''Smoor'' (Dutch dialect)	Semur (Indonesian stew)	dish
''Somsa''	Samsa (food)	dish
''Sop kaledo''	Kaledo (soup)	dish
''Spaghetti con le vongole''	Spaghetti alle vongole	dish
''Spongarda di Crema''	Spongarda	dish
''Sroto''	Soto (food)	dish
''Stelle''	Stelline	ingredient
''Strichetti''	Farfalle	ingredient
''Strik/sjtrik'' ''Poeffel''	Nonnevot	ingredient
''Sultteok''	Jeungpyeon	dish
''Sumang Inilonggo''	Biko (food)	dish
''Sutsa/Syutsa'' (dialectal	Batchoy Tagalog	dish
''Tagaktak''	Lokot-lokot	dish
''Tagliarini''	Tagliolini	dish
''Tang''	Guk	dish
''Tarechta''	Rechta	ingredient
''Tie-a-leaf'' or ''blue drawers'' (in Jamaica)	Duckanoo	dish
''Timballo di anelletti''	Anelletti al forno	dish
''Tinadtag''	Lokot-lokot	dish
''Tinagaktak''	Lokot-lokot	dish
''Tinagtag''	Lokot-lokot	dish
''Titiya''	Tortilla	dish
''Topală''	Ciulama	dish
''Torchio''	Campanelle	ingredient
''Torresmos em Molho de Fígado''	Torresmos	dish
''Torró''	Turrón	dish
''Torta	Tortilla	dish
''Torta a rose''	Torta delle rose	dish
''Torta''	Mamón	dish
''Troffie''	Trofie	ingredient
''Tumacë me tulë''	Tumact me tulez	dish
''Ukoy''	Okoy	dish
''Urab''	Urap	dish
''Urap-urap''	Urap	dish
''Utap''	Otap (food)	dish
''Uyu-juk''	Tarak-juk	dish
''Vincesgrassi''	Vincisgrassi	dish
''Vivingka''	Bibingka	dish
''Wadit''	Biko (food)	dish
''Wadjit''	Biko (food)	dish
''Wagit''	Biko (food)	dish
''Wajid''	Wajik	dish
''Wet tha dok htoe''	Burmese pork offal skewers	dish
''Youyusi''	Dried shredded squid	dish
''Zampina di Sammichele''	Zampina	ingredient
''Zawo''	Galho	dish
''Zeppola'' (Italian singular form)	Zeppole	dish
''aachar''	Chutney	dish
''agnellotti''	Agnolotti	dish
''agnolòt''	Agnolotti	dish
''aligué''/''aliguí''	Taba ng talangka	dish
''aligí''/''aligé''	Taba ng talangka	dish
''amori''	Cavatappi	ingredient
''arancina'' (Italian singular form)	Arancini	dish
''arancine''	Arancini	dish
''ardorío''	Salmorejo	dish
''arroz caldo con goto''	Goto (food)	dish
''arroz con goto''	Goto (food)	dish
''arroz goto''	Goto (food)	dish
''b'baw t'noat''	Bor bor thnaut	dish
''babor tnoat''	Bor bor thnaut	dish
''bacang''	Zongzi	dish
''baduya''	Pinaypay	dish
''bakcang''	Zongzi	dish
''bakmie''	Bakmi	dish
''bariania''	Biryani	dish
''bassolano''	Bensone	dish
''beriani''	Biryani	dish
''bignè di San Giuseppe''	Zeppole	dish
''binakhaw''	Kinilaw	dish
''birani''	Biryani	dish
''biriani''	Biryani	dish
''bistec tagalo''	Bistek	dish
''bistek tagalog''	Bistek	dish
''bistig''	Bistek	dish
''bistik''	Bistek	dish
''blatjang''	Chutney	dish
''bokayo''	Bukayo	dish
''bombaroni''	Paccheri	dish
''bor bor tnaot''	Bor bor thnaut	dish
''borbor thnaut''	Bor bor thnaut	dish
''borsht''	Borscht	dish
''bortsch''	Borscht	dish
''breyani''	Biryani	dish
''briani''	Biryani	dish
''briyani''	Biryani	dish
''brodetto''	Brudet	dish
''bubuzuke''	Chazuke	dish
''bucayo''	Bukayo	dish
''buchim''	Buchimgae	dish
''bukayu''	Bukayo	dish
''bukhayo''	Bukayo	dish
''buriyani''	Biryani	dish
''busa''	Busiate	ingredient
''cade'' (in French)	Farinata	dish
''calda calda''	Farinata	dish
''cancelle''	Pizzelle	ingredient
''canelons'' (Catalonia)	Cannelloni	dish
''canisson''	Calisson	dish
''canissoun''	Calisson	dish
''canneroni''/''cannaroni'' (Naples)	Cannelloni	dish
''cannoli''	Cannelloni	dish
''capicola'' (United States and Canada)	Capocollo	ingredient
''capicollu'' (Corsica)	Capocollo	ingredient
''capocollo'' or ''corpolongo'' (northern Lazio and central-southern Umbria)	Capocollo	ingredient
''carne frita''	Bistek	dish
''casanzes''	Casunziei	dish
''catarrette''	Pizzelle	ingredient
''cecìna''	Farinata	dish
''cencalok''	Cincalok	ingredient
''cencaluk''	Cincalok	ingredient
''cerorot''	Clorot	dish
''cha k'nye''	Chha kh'nhei	ingredient
''cha khnei''	Chha kh'nhei	ingredient
''cha kney''	Chha kh'nhei	ingredient
''cha-cha gohan''	Chazuke	dish
''chahuoy teuk''	Cha huoy teuk	dish
''chammanthi''	Chutney	dish
''chao pao''	Cha siu bao	dish
''chatney''	Chutney	dish
''chatni''	Chutney	dish
''chembihik''	Kinema	dish
''cheung fun''	Rice noodle roll	dish
''chha kh'nhei''	Chha kh'nhei	ingredient
''chimaki''	Zongzi	dish
''chin som ngiao''	Khao kan chin	ingredient
''chocolate croissant''	Pain au chocolat	dish
''chüchpara''	Joshpara	dish
''chüchüre''	Joshpara	dish
''chūka soba''	Ramen	dish
''ciabotta''	Ciambotta	dish
''ciambrotta''	Ciambotta	dish
''ciammotta''	Ciambotta	dish
''cianfotta''	Ciambotta	dish
''ciuffolitti'' (Abruzzo)	Busiate	ingredient
''cjalzons''	Cjarsons	dish
''conserua de coco''	Bukayo	dish
''coppa di collo'' (Romagna)	Capocollo	ingredient
''cornetti''	Campanelle	ingredient
''cornetti''	Sedani	ingredient
''corni di bue''	Campanelle	ingredient
''coto''	Soto (food)	dish
''couque au chocolat''	Pain au chocolat	dish
''crosetti'' (Emilia-Romagna)	Corzetti	ingredient
''croxetti''	Corzetti	ingredient
''crusetti'' (Sicily)	Cannelloni	dish
''csanzöi''	Casunziei	dish
''cuapao''	Koah-pau	dish
''dafina''	Hamin	ingredient
''debil sibérienne'' (Siberian omelette)	Baked Alaska	dish
''diamanti romani''	Pizza dolce di Beridde	dish
''diavoletti''	Sedani	ingredient
''diavolini''	Sedani	ingredient
''doi''	Dahi (curd)	dish
''dukah''	Charoset	dish
''dukbokki''	Tteokbokki	dish
''dukeh''	Charoset	dish
''duqqa''	Charoset	dish
''düshbärä''	Joshpara	dish
''fainá''	Farinata	dish
''fainé''	Farinata	dish
''faire chabròl''	Chabrot	dish
''fantuan''	Cifantuan	dish
''finocchiata'' (Siena)	Capocollo	ingredient
''folletti''	Sedani	ingredient
''fricco''	Frico	dish
''fusarioi''	Busiate	ingredient
''fà chabroù''	Chabrot	dish
''gabagool'' (New York City and New Jersey)	Capocollo	ingredient
''giambotta''	Ciambotta	dish
''gigli''	Campanelle	ingredient
''glace au four''	Baked Alaska	dish
''gnocchi del ferro''	Busiate	ingredient
''godaille''	Chabrot	dish
''godala''	Chabrot	dish
''goto arroz caldo''	Goto (food)	dish
''goudale''	Chabrot	dish
''gu lu rou''	Sweet and sour pork	dish
''gyūmeshi'' ('beef [and] rice')	Gyūdon	dish
''haau-faansyu''	Roasted sweet potato	dish
''hagelslag'' (Dutch)	Sprinkles	ingredient
''hojaldre''	Ohaldre	dish
''hokuma''	Kinema	dish
''holubky''	Gołąbki	dish
''htamin gyaw''	Burmese fried rice	dish
''ifu mie''	Ifumi	dish
''intemtem''	Tupig	dish
''jelurut''	Clorot	dish
''jeonbyeong''	Buchimgae	dish
''jijim''	Buchimgae	dish
''jijimgae''	Buchimgae	dish
''jijimi''	Buchimgae	dish
''kabak''	Binangkal	dish
''kaeng phung pla''	Kaeng tai pla	ingredient
''kangkanen''	Tupig	dish
''kare erişte''	Çorbalık kesme	ingredient
''karne frita''	Bistek	dish
''karne prita''	Bistek	dish
''kashkak''	Keşkek	dish
''kashkek''	Keşkek	dish
''katiew''	Kuyteav	dish
''keke pua'a''	Cha siu bao	dish
''keške''	Keşkek	dish
''kha mu phalo''	Khao kha mu	dish
''khao phat''	Thai fried rice	dish
''khichari	Khichdi (dish)	dish
''kilau''	Kinilaw	dish
''kilawin''	Kinilaw	dish
''kinamut''	Kamayan	ingredient
''kinilau''	Kinilaw	dish
''kisuri'' (Sylheti)	Khichdi (dish)	dish
''kransakaka''	Kransekage	dish
''kransekage''	Kransekage	dish
''kransekake''	Kransekage	dish
''krawu''	Urap	dish
''kreple''	Pączki	dish
''krmouta''	Qarymutah	dish
''kruidennoten'' (mistakenly)	Kruidnoten	ingredient
''kuih UFO''	Pinjaram	dish
''kuih amik''	Pinjaram	dish
''kuih cucur jawa''	Pinjaram	dish
''kuih telinga tikus''	Pinjaram	dish
''kuitiew''	Kuyteav	dish
''kǎo-báishǔ''	Roasted sweet potato	dish
''lagman''	Laghman (food)	dish
''lagʻmon''	Laghman (food)	dish
''lahamagine''	Lahmacun	dish
''lahm b'ajin''	Lahmacun	dish
''lahmajin''	Lahmacun	dish
''lahmajo''	Lahmacun	dish
''lahmajoun''	Lahmacun	dish
''lahmatzoun''	Lahmacun	dish
''langaroli''	Agnolotti	dish
''langheroli''	Agnolotti	dish
''lataven''	Kinilaw	dish
''latiaozi''	Laghman (food)	dish
''lonza'' (central-southern Lazio) or ''lonzino'' (Marche and Abruzzo)	Capocollo	ingredient
''lucanica''	Luganega	ingredient
''luganica''	Luganega	ingredient
''lugao''	Lugaw	dish
''maccheroni bobbesi''	Busiate	ingredient
''machang''	Zongzi	dish
''malasada''	Malassada	dish
''manapua''	Cha siu bao	dish
''manfriguli''/''manfrigoli'' (Valtellina)	Cannelloni	dish
''maniche rigate''	Paccheri	dish
''masak lemak cili api''	Masak lemak lada api	dish
''mee kiri''	Dahi (curd)	dish
''meises'' (Indonesian)	Sprinkles	ingredient
''mitiore''	Taioro	dish
''mocetta''	Motsetta	ingredient
''mosaru''	Dahi (curd)	dish
''mostaccioli''	Mustacciuoli	dish
''mǎzǎi''	Sachima	dish
''nevole''	Pizzelle	ingredient
''nilagpang''	Linagpang	dish
''nom asom''	Zongzi	dish
''nom plae ay''	Num plae ai	dish
''nom plai ai''	Num plae ai	dish
''nom plaiy aiy''	Num plae ai	dish
''nougat''	Turrón	dish
''num plae ai''	Num plae ai	dish
''num plae aiy''	Num plae ai	dish
''num plae ay''	Num plae ai	dish
''ochazuke''	Chazuke	dish
''ojingeo-chae''	Dried shredded squid	dish
''omelette norvégienne'' (Norwegian omelette)	Baked Alaska	dish
''omelette surprise''	Baked Alaska	dish
''ossobuco alla milanese''	Ossobuco	dish
''ossocollo'' (Veneto and Friuli-Venezia Giulia)	Capocollo	ingredient
''p'lear sach ko''	Pleah sach ko	dish
''pacchadi''	Chutney	dish
''pachadi''	Chutney	dish
''padek''	Padaek	ingredient
''paella''	Paelya	dish
''pan di fich''	Bisciola	dish
''panaeng''	Phanaeng	ingredient
''panialam''	Panyalam	dish
''panzarotto'' (Italian singular form)	Panzerotti	dish
''parmatieddi''	Parmitieddi	ingredient
''pastel''	Pastil	dish
''paster''	Pastil	dish
''patel''	Pastil	dish
''pater''	Pastil	dish
''patil''	Pastil	dish
''patir''	Pastil	dish
''penganan iri''	Pinjaram	dish
''pepernoten'' (mistakenly)	Kruidnoten	ingredient
''pera al vino''	Poire à la Beaujolaise	dish
''pere al vino''	Poire à la Beaujolaise	dish
''perugu''	Dahi (curd)	dish
''petit pain''	Pain au chocolat	dish
''picadillo'' (''pikadilyo'')	Sinanglay	dish
''piyutu''	Piutu	dish
''pièce-en-Montée''	Croquembouche	dish
''piñones''	Orzo	ingredient
''plea sach ko''	Pleah sach ko	dish
''pleah saiko''	Pleah sach ko	dish
''plear sach koh''	Pleah sach ko	dish
''podpod''	Pudpod	dish
''poire au vin''	Poire à la Beaujolaise	dish
''pone yay gyi''	Pon ye gyi	dish
''pone ye gyi''	Pon ye gyi	dish
''poso	Pusô	dish
''pospas''	Lugaw	dish
''pot de haricots de Guernesey''	Guernsey bean jar	dish
''prahoc''	Prahok	ingredient
''prohoc''	Prahok	ingredient
''prohok''	Prahok	ingredient
''ptitim''	Orzo	ingredient
''pudpud''	Pudpod	dish
''pula''	Taba ng talangka	dish
''pulut manis''	Wajik	dish
''putu''	Piutu	dish
''pya htote''	Zongzi	dish
''pépinettes''	Orzo	ingredient
''pùrcle''	Pączki	dish
''pīrādziņi''	Speķrauši	dish
''pīrāgi''	Speķrauši	dish
''qirymutuh''	Qarymutah	dish
''qrmuta''	Qarymutah	dish
''reginette''	Mafaldine	ingredient
''riewele''	Orzo	ingredient
''rigatoncini''	Paccheri	dish
''rigatoni''	Paccheri	dish
''riyandang''	Rendang	dish
''ruote'' (Italy)	Rotelle	ingredient
''sabayon'' (in French)	Zabaione	dish
''saek-kusŭl-sathang''	Okchun-dang	dish
''sakhina''	Hamin	ingredient
''saki-ika''	Dried shredded squid	dish
''salocara''	Salukara	dish
''salucara''	Salukara	dish
''samba randang''	Rendang	dish
''samlar machu ktis''	Samlor machu ktis	dish
''samlaw machu ktis''	Samlor machu ktis	dish
''samlor machou ktis''	Samlor machu ktis	dish
''samlor machu k'tis''	Samlor machu ktis	dish
''samlor m’chhou ktis''	Samlor machu ktis	dish
''satni''	Chutney	dish
''scamerita'' or ''scalmarita'' (northern Umbria and Tuscany)	Capocollo	ingredient
''schiaffoni''	Paccheri	dish
''serpentini''	Cavatappi	ingredient
''sfinge''	Zeppole	dish
''shao mai''	Shumai	dish
''shina soba''	Ramen	dish
''shishbarak''	Joshpara	dish
''shu mai''	Shumai	dish
''shui mai''	Shumai	dish
''shui mei''	Shumai	dish
''shushbarak''	Joshpara	dish
''sinanglay na isda''	Sinanglay	dish
''sinapot''	Pinaypay	dish
''siomai'' (Filipino)	Shumai	dish
''siomay'' (Indonesian)	Shumai	dish
''siu mai''	Shumai	dish
''siumai'' (Malaysian)	Shumai	dish
''soboro'' bread	Soboro-ppang	dish
''soboro'' bun	Soboro-ppang	dish
''soboro'' pastry	Soboro-ppang	dish
''socca'' (in French)	Farinata	dish
''somlaw machu ktis''	Samlor machu ktis	dish
''speķa pīrādziņi''	Speķrauši	dish
''speķa pīrāgi''	Speķrauši	dish
''speķa rauši''	Speķrauši	dish
''spirali''	Cavatappi	ingredient
''stroffie''	Trofie	ingredient
''strofie''	Trofie	ingredient
''strössel'' (Swedish)	Sprinkles	ingredient
''subioti''	Busiate	ingredient
''sui mai''	Shumai	dish
''surume''	Dried shredded squid	dish
''taba ning talangkâ''	Taba ng talangka	dish
''tabang talangkâ''	Taba ng talangka	dish
''tajarin''	Tagliolini	dish
''tarae-gwa''	Maejap-gwa	ingredient
''tarator''	Tzatziki	dish
''tatarbari''	Joshpara	dish
''tauto''	Soto (food)	dish
''thayir''	Dahi (curd)	dish
''thuvayal''	Chutney	dish
''topokki''	Tteokbokki	dish
''torrone''	Turrón	dish
''torrão''	Turrón	dish
''torselli''	Cavatappi	ingredient
''torsellini''	Corzetti	ingredient
''torta Bisaya''	Mamón	dish
''torta Visaya''	Mamón	dish
''torta di Pasqua''	Pizza di Pasqua	dish
''torta di ceci''	Farinata	dish
''torta mamón''	Mamón	dish
''tortiglione''	Cavatappi	ingredient
''trei ngeat ovlek''	Aluek trei ngeat	dish
''trouchia''''omelette à la moissonneuse''	Crespéou	dish
''tteobokki''	Tteokbokki	dish
''tteok-bokki''	Tteokbokki	dish
''tufoli rigati''. ''Moccolotti'' in Marche and Umbria.	Paccheri	dish
''turon''	Turrón	dish
''turrone''	Turrón	dish
''tushbera''	Joshpara	dish
''tushpara''	Joshpara	dish
''upsecanam''	Chutney	dish
''xíu mại'' (Vietnamese)	Shumai	dish
''yaki-imo''	Roasted sweet potato	dish
''yi fu mein''	Ifumi	dish
''youyupian''	Dried shredded squid	dish
''zabaglione al caffè'' ()	Zabaione	dish
''zabajone''	Zabaione	dish
''zampanelle''	Borlengo	dish
''zang''	Zongzi	dish
''zanne d'elefante'' if smooth.	Sedani	ingredient
''zeppole di San Giuseppe''	Zeppole	dish
''Çorbalık kesme erişte''	Çorbalık kesme	ingredient
''çorbalık erişte''	Çorbalık kesme	ingredient
''ɛtsew''	Banku (dish)	dish
'Idu l-Fitr	Eid al-Fitr	dish
'Mpanatigghi	Empanada	dish
'Nduja	'Nduja	dish
'O pere e 'o musso	'O pere e 'o musso	ingredient
'Ota 'ika	'Ota 'ika	dish
'Tizer Milizer'	Tizer	ingredient
'ape	Xanthosoma	dish
'otai	'otai	ingredient
'ulu	Breadfruit	dish
()	Panini (sandwich)	ingredient
(Apulia)	Ziti	dish
(Git) Gud Badam	Chikki	ingredient
(Hmong)	Pickled mustard greens	ingredient
(Italian singular form)	Biscotti	dish
(Italian singular form)	Cannoli	dish
(Lao)	Pickled mustard greens	ingredient
(Lombard)	Bruscitti	dish
(Molise)	Ziti	dish
(North Korea)	Bosintang	dish
(Swedish)	Mämmi	dish
(antiquated)	Pão de Mafra	ingredient
(cookies)	Moustalevria	dish
(in Italian)	Cassoeula	dish
(in Italian)	Deep fried pizza	dish
(in Italian)	Italian wedding soup	dish
(in Italian)	Neapolitan ragù	ingredient
(in Italian)	Sicilian orange salad	dish
(in Lombard)	Cassoeula	dish
(in Neapolitan)	Neapolitan ragù	ingredient
(in Piedmontese)	Zabaione	dish
(in Rio Grande do Sul)	Brigadeiro	dish
(narrower)	Fettuccine	ingredient
(pie form)	Moustalevria	dish
(rus.)	Echpochmak	dish
(until the 1980s)	Mustamakkara	ingredient
(wider)	Fettuccine	ingredient
(주)빙그레	Binggrae	ingredient
*''Binakol na manok''	Binakol	dish
*''Ginataang sigarilyas''	Gising-gising	dish
*''Talunan na manok''	Talunan	dish
-196˚C Strong Zero	Strong Zero	ingredient
.fage	Fage	ingredient
0 flour	Flour	dish
00 flour	Flour	dish
1 flour	Flour	dish
1-800-4-OK-SODA	OK Soda	ingredient
1-800-4-OK-Soda	OK Soda	ingredient
1-800-4-Ok-Soda	OK Soda	ingredient
1-800-I-FEEL-OK	OK Soda	ingredient
1-800-I-Feel-OK	OK Soda	ingredient
1-800-I-Feel-Ok	OK Soda	ingredient
10 Cane	10 Cane	ingredient
10 cents bread	10 won bread	dish
10 won bread	10 won bread	dish
10 won waffle	10 won bread	dish
10 yen bread	10 won bread	dish
10-2-4	Dr Pepper	ingredient
10.4060	Food and Agriculture Organization	ingredient
100 Pipers	100 Pipers	ingredient
100% agave	Tequila	ingredient
1000 Island dressing	Thousand Island dressing	condiment
1000 island	Thousand Island dressing	condiment
